location,Country_Region,date,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,UID,ISO3,Testing_Rate,People_Tested,Mortality_Rate,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
Alabama,US,2020-04-12,32.3182,-86.9023,3667,93,91214.07627118644,3470.0,1.0,75.98802021,84000001.0,USA,460.3001516,21583.0,2.610159978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,US,2020-04-12,61.3707,-152.4044,272,8,66.0,264.0,2.0,45.50404936,84000002.0,USA,1344.711576,8038.0,2.9411764710000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,US,2020-04-12,-14.270999999999999,-170.1322,0,0,0.0,0.0,60.0,0.0,16.0,ASM,5.391707554,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,US,2020-04-12,33.7298,-111.4312,3542,115,66.0,3427.0,4.0,48.66242224,84000004.0,USA,578.5222863,42109.0,3.246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,US,2020-04-12,34.9697,-92.3731,1280,27,367.0,1253.0,5.0,49.43942261,84000005.0,USA,761.7533537,19722.0,2.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,US,2020-04-12,36.1162,-119.6816,22805,640,367.0,22155.0,6.0,58.13772584,84000006.0,USA,485.42386849999997,190328.0,2.81202018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,US,2020-04-12,39.0598,-105.3111,7307,289,367.0,7018.0,8.0,128.943729,84000008.0,USA,615.3899908,34873.0,3.955111537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,US,2020-04-12,41.5978,-72.7554,12035,554,367.0,11481.0,9.0,337.56048250000003,84000009.0,USA,1156.148159,41220.0,4.6032405480000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,US,2020-04-12,39.3185,-75.5071,1625,46,191.0,1590.0,10.0,166.8782169,84000010.0,USA,1140.214672,11103.0,2.153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,US,2020-04-12,38.8974,-77.0268,1875,50,493.0,1825.0,11.0,265.6751905,84000011.0,USA,1507.618148,10640.0,2.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,US,2020-04-12,27.7663,-81.6868,19895,461,493.0,19434.0,12.0,93.70022691,84000012.0,USA,860.7186513,182753.0,2.317165117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,US,2020-04-12,33.0406,-83.6431,12452,433,493.0,12019.0,13.0,122.80814050000001,84000013.0,USA,537.0439828,54453.0,3.4773530360000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,US,2020-04-12,13.4443,144.7937,133,5,58.0,128.0,66.0,80.98447899,316.0,GUM,502.95623789999996,826.0,3.759398496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,US,2020-04-12,21.0943,-157.4983,499,9,300.0,490.0,15.0,35.24543964,84000015.0,USA,1269.118355,17968.0,1.8036072140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,US,2020-04-12,44.2405,-114.4788,1407,27,300.0,1380.0,16.0,87.36433536,84000016.0,USA,888.4214004,14308.0,1.918976546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,US,2020-04-12,40.3495,-88.9861,20852,720,300.0,20132.0,17.0,177.68078180000003,84000017.0,USA,858.3672336000001,100735.0,3.4529061960000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,US,2020-04-12,39.8494,-86.2583,7928,448,300.0,7585.0,18.0,121.14925530000001,84000018.0,USA,649.2823801,42489.0,4.326437941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,US,2020-04-12,42.0115,-93.2105,1587,41,674.0,1546.0,19.0,60.55603952,84000019.0,USA,671.2677046,17592.0,2.583490863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,US,2020-04-12,38.5266,-96.7265,1344,63,674.0,1288.0,20.0,55.11612114,84000020.0,USA,543.4925249,13253.0,4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,US,2020-04-12,37.6681,-84.6701,1963,97,464.0,1866.0,21.0,57.34228025,84000021.0,USA,717.6402439,24567.0,4.941416200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,US,2020-04-12,31.1695,-91.8678,20595,840,464.0,19755.0,22.0,447.9836494,84000022.0,USA,2263.19295,104045.0,4.078659869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,US,2020-04-12,44.6939,-69.3819,633,19,266.0,614.0,23.0,53.91795272,84000023.0,USA,572.4842974,6721.0,3.0015797789999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,US,2020-04-12,39.0639,-76.8021,8225,236,456.0,7989.0,24.0,138.3903145,84000024.0,USA,837.3076732000001,49764.0,2.869300912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,US,2020-04-12,42.2302,-71.5301,25475,756,456.0,24719.0,25.0,371.1516059,84000025.0,USA,1700.668379,116730.0,2.9676153089999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,US,2020-04-12,43.3266,-84.5361,24244,1479,433.0,22765.0,26.0,304.2953668,84000026.0,USA,997.0430232000001,79437.0,6.100478469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,US,2020-04-12,45.6945,-93.9002,1621,70,842.0,1551.0,27.0,32.77100367,84000027.0,USA,756.5229662,37421.0,4.318322023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,US,2020-04-12,32.7416,-89.6787,2781,96,842.0,2685.0,28.0,96.05534114,84000028.0,USA,739.6019489,21413.0,3.451995685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,US,2020-04-12,38.4561,-92.2884,4352,120,842.0,4151.0,29.0,72.85659283,84000029.0,USA,771.4026695,45200.0,2.764113375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montana,US,2020-04-12,46.9219,-110.4544,387,6,169.0,381.0,30.0,44.68889256,84000030.0,USA,1029.230231,8913.0,1.5503875969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,US,2020-04-12,41.1254,-98.2681,791,17,169.0,774.0,31.0,51.85960275,84000031.0,USA,700.924163,10691.0,2.149178255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,US,2020-04-12,38.3135,-117.0554,2836,112,169.0,2724.0,32.0,94.01010443,84000032.0,USA,815.8260508,24611.0,3.94922426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,US,2020-04-12,43.4525,-71.5639,929,23,236.0,906.0,33.0,69.94702398,84000033.0,USA,822.5739902,10925.0,2.475780409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey,US,2020-04-12,40.2989,-74.521,61850,2350,236.0,59500.0,34.0,696.3372772000001,84000034.0,USA,1426.844055,126735.0,3.7995149560000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,US,2020-04-12,34.8405,-106.2485,1245,26,235.0,1219.0,35.0,74.66119111,84000035.0,USA,1720.6256190000001,28692.0,2.088353414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,US,2020-04-12,42.1657,-74.9481,189033,9385,23887.0,179648.0,36.0,1121.124012,84000036.0,USA,2737.680538,461601.0,4.9647416060000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
